City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
34,blackmans bay,-43.0167,147.3167,295.11,57,7,0.89,AU,1702261438
35,salalah,17.0151,54.0924,293.2,45,0,3.6,OM,1702261439
36,puerto natales,-51.7236,-72.4875,279.68,84,68,1.88,CL,1702261439
37,quartu sant'elena,39.2419,9.1839,283.71,86,0,2.57,IT,1702261281
38,de aar,-30.6497,24.0123,287.11,76,12,5.86,ZA,1702261440
39,ilovlya,49.3033,43.9796,267.73,60,100,7.09,RU,1702261440
40,puerto ayora,-0.7393,-90.3518,297.3,86,35,3.34,EC,1702261441
41,bardai,11.65,7.2333,289.33,29,0,4.76,NG,1702261442
42,vilyuchinsk,52.9306,158.4028,274.3,92,100,5.09,RU,1702261442
43,santana,-0.0583,-51.1817,302.25,74,0,3.09,BR,1702261443
44,yellowknife,62.456,-114.3525,261.44,92,75,9.26,CA,1702261359
45,campbell river,50.0163,-125.2446,278.96,100,75,0.0,CA,1702261444
46,hammerfest,70.6634,23.6821,270.4,74,40,3.6,NO,1702261444
47,vorgashor,67.5833,63.95,248.15,100,100,3.82,RU,1702261445
48,bocaiuva,-17.1078,-43.815,297.99,65,11,4.34,BR,1702261400
49,port elizabeth,-33.918,25.5701,287.65,92,0,1.03,ZA,1702261446
50,magistral'nyy,56.1725,107.4458,235.58,100,76,0.35,RU,1702261447
51,bethel,41.3712,-73.414,289.38,89,100,1.79,US,1702261308
52,ust-nera,64.5667,143.2,252.7,98,100,3.98,RU,1702261448
53,sisimiut,66.9395,-53.6735,268.98,86,100,5.23,GL,1702261448
54,aegina,37.7467,23.4275,286.04,81,100,3.97,GR,1702261333
55,tuni,17.35,82.55,294.88,80,31,1.89,IN,1702261449
56,tazovsky,67.4667,78.7,248.5,97,100,4.69,RU,1702261450
57,utrik,11.2278,169.8474,300.34,77,100,8.7,MH,1702261450
58,kodinsk,58.6881,99.1844,240.06,100,22,0.26,RU,1702261451
59,beneditinos,-5.45,-42.3667,298.29,82,61,2.29,BR,1702261451
60,ilulissat,69.2167,-51.1,271.16,69,100,6.69,GL,1702261396
61,santa elena de uairen,4.6167,-61.1333,296.37,65,87,1.08,VE,1702261453
62,cidreira,-30.1811,-50.2056,293.19,92,100,7.83,BR,1702261453
63,sao vicente,-23.9631,-46.3919,296.63,26,100,0.45,BR,1702261454
64,bonthe,7.5264,-12.505,299.55,81,51,2.3,SL,1702261454
